brand,processor_brand,ram_gb,ssd,hdd,os_bit,Touchscreen,Price
DELL,Intel,16 GB,512 GB,0 GB,64-bit,No,79990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,63990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,63990
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,59990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,55990
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,59990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,63990
DELL,Intel,16 GB,512 GB,0 GB,64-bit,No,69490
DELL,Intel,16 GB,512 GB,0 GB,64-bit,Yes,89390
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,74990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,Yes,64990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,66490
DELL,Intel,16 GB,512 GB,0 GB,64-bit,No,89702
Lenovo,Intel,16 GB,512 GB,0 GB,64-bit,No,70990
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,Yes,58990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,57500
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,79990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,56541
ASUS,Intel,16 GB,512 GB,0 GB,64-bit,No,59990
Lenovo,Intel,16 GB,512 GB,0 GB,64-bit,No,64990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,61290
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,54990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,59990
ASUS,Intel,8 GB,512 GB,0 GB,32-bit,No,84990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,72500
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,59990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,Yes,87990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,57990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,69490
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,Yes,68990
Lenovo,Intel,8 GB,512 GB,0 GB,32-bit,No,77990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,105990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,79990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,55490
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,69990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,Yes,84990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,59990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,111890
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,65990
ASUS,Intel,8 GB,512 GB,0 GB,32-bit,No,72990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,71090
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,74990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,79990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,55490
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,66490
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,53400
DELL,Intel,8 GB,512 GB,0 GB,64-bit,Yes,74500
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,114990
DELL,Intel,8 GB,512 GB,0 GB,64-bit,No,61990
APPLE,Intel,8 GB,512 GB,0 GB,64-bit,No,159990
APPLE,Intel,8 GB,512 GB,0 GB,64-bit,No,172090
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,74990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,56490
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,147000
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,55990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,77990
HP,Intel,8 GB,512 GB,0 GB,64-bit,No,106490
Lenovo,Intel,8 GB,512 GB,0 GB,32-bit,No,70990
Lenovo,Intel,8 GB,512 GB,0 GB,64-bit,No,64990
acer,Intel,8 GB,512 GB,0 GB,64-bit,No,57990
ASUS,Intel,8 GB,512 GB,0 GB,64-bit,No,64990
MSI,Intel,8 GB,512 GB,0 GB,64-bit,No,54990
HP,Intel,8 GB,512 GB,0 GB,64-bit,Yes,111999
